MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
3,6,7,8,8,6,3,4,8,4,3,7,11,4,7,3,6,7,2,2,0.6393
7,6,5,4,4,2,6,6,4,6,8,7,10,5,8,4,6,7,6,5,0.6513
7,5,2,6,11,2,3,7,8,4,6,3,11,6,4,12,8,4,12,7,0.7734
1,6,2,6,6,7,8,3,5,9,6,3,9,2,6,2,5,9,5,8,0.5771
6,4,4,10,4,5,3,4,4,7,6,6,8,4,4,4,11,5,8,7,0.6566
7,7,5,8,9,4,6,4,8,8,12,5,8,8,7,6,7,7,13,4,0.8175
7,2,2,5,3,5,5,9,6,3,6,3,9,6,4,7,12,7,3,0,0.6068
8,9,5,12,2,7,8,5,4,8,5,6,6,5,4,6,6,3,9,9,0.7339
9,3,6,6,4,2,4,9,1,5,4,6,9,7,7,2,3,6,2,5,0.6278
4,3,6,9,9,9,7,2,5,3,4,10,10,8,9,8,6,2,8,6,0.7148
4,4,8,3,2,7,2,7,7,7,4,6,7,9,4,3,7,7,4,5,0.5914
10,5,12,11,4,7,8,7,10,9,9,9,6,5,6,3,8,9,6,5,0.8424
6,1,5,5,2,3,7,7,5,11,3,7,6,9,9,5,4,6,6,7,0.619
6,5,5,4,10,10,3,3,2,8,7,5,3,2,11,9,6,9,6,5,0.6849
5,6,6,5,2,6,5,5,4,5,8,8,11,6,8,4,10,4,2,7,0.6352
5,8,5,8,9,8,8,5,7,2,3,5,7,6,3,7,10,7,4,11,0.7277
8,5,5,11,5,3,4,5,10,7,8,3,9,3,4,9,3,8,4,9,0.7241
5,8,7,5,2,5,5,7,1,7,3,5,5,2,9,2,4,7,6,4,0.5462
7,6,5,10,3,5,7,5,9,1,5,7,3,7,9,6,5,6,6,5,0.6975
7,8,8,10,5,6,6,6,2,4,7,7,9,10,7,8,7,8,10,4,0.7906
6,5,11,7,5,9,8,6,5,3,5,8,9,8,4,4,8,6,8,10,0.7394
4,9,4,5,6,10,9,6,10,3,4,10,5,4,7,4,5,6,11,4,0.6572
8,9,9,4,3,11,7,5,3,4,9,7,9,6,6,6,5,9,10,5,0.7632
4,2,5,6,5,6,9,3,9,4,5,8,5,10,13,8,6,6,5,9,0.7096
5,3,9,8,6,3,6,8,6,6,9,4,5,9,7,5,6,8,6,10,0.7472
7,7,1,6,3,5,6,10,4,7,8,5,3,7,7,1,10,5,8,5,0.659
3,5,3,9,7,2,5,6,7,4,9,9,4,7,6,3,6,7,3,3,0.6223
1,7,12,8,10,3,0,3,9,7,7,6,6,2,2,11,7,5,5,6,0.6261
7,4,3,9,5,5,7,3,7,4,6,5,5,5,6,5,5,9,4,7,0.6162
8,2,3,5,6,8,5,9,6,5,4,3,10,6,5,7,3,11,3,5,0.6842
6,10,8,2,5,4,3,11,4,9,9,3,12,8,6,6,3,5,3,7,0.7253
5,6,4,4,9,8,4,7,5,12,6,4,5,5,7,7,6,5,8,3,0.7254
9,3,4,2,11,5,8,7,6,7,3,4,7,3,6,6,10,8,6,4,0.698
7,4,5,7,6,5,6,2,9,5,8,9,0,6,5,6,10,5,6,9,0.6771
6,4,3,5,7,4,3,7,3,7,3,6,4,4,11,4,4,7,7,7,0.5863
4,5,6,3,9,7,3,3,6,8,5,6,3,6,5,5,5,2,6,7,0.6096
8,4,5,7,3,8,7,7,6,6,12,12,3,6,7,4,4,7,8,3,0.6925
4,5,5,6,7,5,2,8,8,7,4,7,6,2,3,11,5,4,2,5,0.5994
8,7,10,8,6,3,8,6,7,5,5,4,5,5,10,8,5,5,7,6,0.7327
5,8,7,3,6,4,7,6,6,6,8,9,5,8,6,7,5,6,1,4,0.6325
7,7,5,3,7,3,3,4,4,2,6,2,10,2,3,5,8,6,6,5,0.6134
6,6,4,6,5,9,6,3,2,5,3,3,12,4,11,4,11,4,3,7,0.6511
4,8,7,6,6,8,9,1,7,7,2,6,5,6,6,6,10,4,4,6,0.6302
5,4,3,6,8,3,5,4,3,6,6,4,7,9,7,5,7,7,6,9,0.6734
6,6,7,4,7,5,5,8,6,8,11,5,8,3,4,3,5,8,12,9,0.7102
6,3,7,3,2,3,12,3,7,8,6,7,5,2,4,5,4,6,6,5,0.5377
5,9,4,8,7,8,8,7,8,6,4,8,3,2,5,8,6,7,6,6,0.6871
6,4,6,8,6,6,9,5,9,6,10,11,7,7,4,3,7,4,7,4,0.722
7,6,4,8,1,10,2,4,4,7,8,7,5,1,3,8,5,6,6,8,0.6278
5,6,5,6,5,7,5,7,3,5,4,9,10,5,4,5,7,12,7,0,0.6583
6,8,6,5,8,3,6,4,11,5,10,5,6,10,6,4,7,8,9,9,0.8137
9,5,4,3,6,4,4,5,5,8,3,9,2,5,1,4,8,6,8,7,0.6356
3,4,9,2,8,6,7,3,7,8,5,4,7,4,5,6,7,10,7,6,0.6638
2,5,4,2,5,5,7,10,5,9,6,6,2,6,3,9,3,5,3,5,0.5368
5,8,6,6,7,6,5,4,4,5,6,4,6,9,9,14,9,6,6,4,0.7515
4,9,6,9,9,2,6,6,5,11,3,8,9,6,4,6,7,2,6,3,0.6468
7,4,8,5,7,5,11,4,6,4,5,7,7,8,7,3,10,3,7,9,0.6774
4,9,5,7,5,2,5,3,11,4,2,8,3,8,8,6,6,6,4,7,0.6374
6,7,7,7,6,6,4,4,10,11,6,11,4,6,9,5,1,3,10,8,0.7298
6,5,5,5,8,9,6,7,3,2,6,5,4,7,4,1,8,3,10,2,0.6511
6,7,5,13,3,4,3,2,10,6,6,6,9,6,6,8,5,5,4,7,0.7097
5,8,4,9,6,3,2,3,5,8,4,2,5,6,6,8,5,3,5,3,0.6115
5,10,7,7,7,7,7,3,10,7,3,2,8,7,10,6,11,10,3,8,0.7666
11,9,7,7,4,7,8,3,5,6,5,5,4,5,5,5,5,12,7,3,0.709
6,8,8,4,9,5,4,5,8,8,4,3,6,4,7,9,3,4,4,4,0.6798
6,7,10,3,3,6,4,3,6,2,6,7,7,7,3,6,11,4,5,8,0.6335
6,3,3,7,9,6,7,3,7,5,2,5,5,8,6,10,7,5,7,5,0.6885
8,4,7,5,6,4,4,10,3,8,5,5,7,5,4,1,14,3,10,3,0.7154
4,6,10,3,7,9,7,1,2,6,9,7,7,6,4,9,11,4,3,3,0.6496
5,8,8,6,5,5,7,7,6,5,5,8,4,7,6,4,8,7,8,3,0.651
4,10,6,5,8,5,4,1,3,3,5,5,2,11,4,8,9,10,5,5,0.6826
7,8,4,5,5,4,5,6,6,4,5,5,5,9,5,5,8,3,6,8,0.6773
6,7,3,4,4,3,12,5,1,3,3,4,6,4,6,3,6,5,4,4,0.5333
4,5,4,5,8,3,8,8,6,5,10,4,6,3,5,12,9,7,3,6,0.6819
10,8,6,7,8,5,6,12,5,7,1,2,8,6,4,9,6,4,9,3,0.7756
5,2,3,4,6,2,3,7,2,6,10,9,4,11,3,0,8,8,4,6,0.5898
8,10,6,9,4,2,5,6,6,3,9,3,7,5,7,7,9,6,9,11,0.7633
8,11,7,5,8,2,6,7,8,5,4,4,6,7,7,4,2,7,5,6,0.7071
9,4,7,3,10,5,1,3,5,10,11,3,6,3,6,6,7,7,7,5,0.7456
8,4,7,7,5,8,2,9,3,6,13,6,4,5,9,5,6,6,2,6,0.6972
4,3,10,7,7,5,10,8,7,5,5,2,5,10,5,8,3,6,6,6,0.6956
5,8,6,5,2,8,8,7,5,6,4,6,7,5,6,5,5,7,7,8,0.647
6,4,8,4,11,3,5,3,6,5,4,7,7,5,5,9,4,2,6,4,0.6353
6,1,6,2,5,3,3,3,8,6,6,6,4,6,5,6,8,4,6,9,0.6156
6,6,6,10,3,5,11,4,4,5,3,3,7,7,6,8,8,4,12,7,0.6742
6,5,7,6,3,7,11,5,6,12,7,2,9,5,6,2,7,11,5,3,0.6795
2,11,8,6,7,7,5,3,3,5,7,3,5,4,6,11,6,3,6,5,0.6503
4,5,5,2,3,12,2,7,3,5,9,10,6,5,8,10,5,7,8,3,0.645
3,6,6,4,4,12,7,4,8,2,10,8,2,4,3,5,5,5,7,5,0.5872
8,7,3,5,8,6,3,3,5,7,9,3,6,10,3,4,6,9,5,10,0.7483
5,2,5,6,5,8,2,10,4,10,4,4,9,5,5,5,8,8,4,2,0.6437
4,2,11,5,8,5,6,5,3,4,5,9,7,4,4,6,7,1,5,4,0.5709
7,6,4,7,7,9,5,5,10,6,5,8,8,3,9,5,8,6,1,8,0.7166
8,2,10,5,6,8,6,5,7,6,5,8,3,6,4,5,6,6,6,1,0.6425
7,4,12,5,7,4,5,2,5,5,7,7,3,9,5,6,8,5,5,11,0.7197
8,10,7,7,5,7,3,6,5,2,6,6,4,10,8,4,9,6,6,3,0.7365
9,10,5,5,10,4,10,2,6,6,7,7,8,6,2,3,9,4,10,5,0.7381
6,8,6,4,11,8,4,6,4,4,9,3,7,3,9,2,4,4,7,7,0.7095
7,6,3,8,6,6,6,5,7,1,8,9,4,5,6,9,9,8,9,6,0.7221
7,5,6,6,9,7,1,5,5,3,8,8,5,6,6,7,12,2,6,13,0.7564
9,3,10,6,2,5,5,9,5,5,6,9,7,7,4,6,7,3,5,8,0.6857
9,9,6,6,6,3,6,5,6,6,9,9,4,5,6,8,8,12,4,9,0.7217
6,6,3,3,6,2,11,5,5,7,4,2,8,5,5,7,4,5,8,6,0.5894
5,5,6,6,4,9,9,4,4,4,5,5,11,7,3,7,10,3,8,3,0.6534
8,6,12,8,5,1,7,11,7,2,4,9,7,6,6,3,6,5,1,4,0.6984
7,10,3,7,6,9,4,4,7,5,5,6,3,1,6,9,9,8,9,3,0.6872
3,3,6,5,8,3,5,6,4,10,7,9,6,6,9,1,7,8,4,6,0.6564
4,5,9,7,8,11,4,2,6,6,7,5,3,9,5,4,3,3,6,7,0.6697
7,5,4,6,5,4,4,4,4,7,11,8,9,4,6,5,4,4,2,13,0.6727
2,4,8,5,8,6,7,9,4,6,5,8,6,2,7,4,8,5,4,8,0.6193
8,5,4,4,6,3,5,6,4,4,7,8,2,7,9,5,8,4,6,7,0.6732
3,8,8,6,2,4,6,9,7,7,7,8,3,6,7,4,8,9,3,5,0.6443
5,3,4,6,3,7,6,2,5,4,4,4,9,4,4,7,3,5,8,5,0.5854
5,6,3,6,7,6,6,7,11,8,12,1,10,8,1,5,10,9,4,3,0.7298
6,8,3,7,8,7,1,7,7,10,6,7,6,8,4,1,1,8,5,4,0.6981
7,6,9,11,5,5,12,7,8,8,11,4,7,7,6,10,5,7,8,5,0.8106
2,5,3,4,8,8,4,7,7,6,7,6,14,1,8,2,5,6,6,6,0.6335
8,3,6,6,3,5,9,5,6,5,6,5,5,3,4,8,5,7,7,10,0.6522
2,6,7,4,4,1,6,6,7,6,4,4,5,4,5,4,7,6,10,3,0.5109
5,8,6,10,6,7,10,5,4,6,3,3,6,9,7,7,3,7,3,5,0.7149
5,5,3,6,6,9,8,8,7,7,6,2,7,4,8,3,5,7,3,5,0.6448
5,5,10,9,3,3,4,8,10,8,8,6,7,6,4,6,4,12,4,9,0.717
5,2,9,6,3,9,2,5,3,10,6,8,3,8,5,5,5,6,11,4,0.6557
6,3,4,7,10,9,2,7,4,6,7,9,4,10,6,8,7,3,3,6,0.7539
6,9,3,8,7,7,7,4,4,2,8,11,8,5,4,5,4,6,5,6,0.6647
4,3,2,5,5,8,8,3,5,6,3,6,6,4,5,8,7,5,8,8,0.5792
5,8,4,7,8,9,8,11,11,10,9,3,5,8,6,5,4,6,5,7,0.785
8,7,5,6,7,5,5,8,5,3,5,5,8,7,4,10,4,5,7,6,0.7043
8,3,7,7,8,8,4,5,3,3,7,10,5,5,5,7,6,4,4,6,0.7019
7,7,4,4,7,7,7,3,10,7,5,5,7,9,7,10,8,2,6,10,0.7355
8,7,6,7,7,4,3,7,8,7,5,4,5,6,3,3,3,12,5,7,0.7257
4,2,9,5,9,3,5,3,5,7,8,6,7,6,5,8,9,3,3,7,0.6779
3,9,9,9,6,7,6,2,4,8,6,5,4,4,2,5,8,6,4,2,0.5739
5,6,6,8,7,5,9,4,4,4,9,5,6,4,7,6,7,5,7,2,0.6461
6,10,8,6,7,13,9,6,7,4,9,9,5,6,7,2,3,9,5,8,0.7385
4,7,6,7,10,5,10,6,8,6,7,6,10,10,4,5,8,5,9,5,0.7895
5,5,8,10,4,7,7,4,5,6,4,4,4,7,7,8,4,7,8,5,0.6884
5,12,3,4,1,4,7,6,2,4,8,7,3,11,6,5,5,5,5,8,0.6105
6,3,9,8,4,5,4,10,4,5,9,5,3,6,5,5,8,7,4,6,0.6942
7,8,9,5,10,6,8,5,6,4,6,9,5,3,4,4,1,5,4,0,0.6215
4,4,4,6,8,7,5,8,4,4,5,10,5,8,7,9,4,7,5,3,0.6567
5,2,6,5,7,5,9,8,8,8,9,7,5,6,8,4,2,8,5,7,0.67
5,11,8,4,13,7,6,7,6,1,8,5,6,5,7,2,5,4,4,7,0.7008
4,5,4,6,5,7,7,5,6,8,6,6,7,8,7,3,6,5,6,8,0.6468
2,3,5,9,9,10,5,7,7,9,4,2,4,6,2,6,3,4,10,4,0.6464
3,7,7,3,6,3,6,7,6,5,7,3,6,5,6,9,4,11,7,2,0.6318
4,5,8,7,4,2,7,6,11,15,7,7,5,12,8,5,5,7,1,4,0.7002
6,4,6,6,5,5,5,5,3,5,5,5,8,6,5,2,1,5,5,9,0.587
9,6,6,4,9,1,7,5,4,6,8,5,7,4,6,4,4,4,6,5,0.6606
6,4,5,6,5,7,3,5,5,5,7,7,4,7,4,1,7,5,6,4,0.6098
6,5,2,9,6,5,6,10,6,8,2,0,7,5,5,4,8,6,6,3,0.6597
5,4,6,4,10,5,7,5,3,9,5,5,8,5,9,3,7,8,8,9,0.6841
5,2,3,6,9,1,4,4,8,6,8,3,11,8,5,7,2,7,4,4,0.666
7,3,5,7,2,7,3,8,8,9,7,5,6,7,4,3,5,8,4,10,0.6969
5,0,6,6,3,7,7,7,6,9,4,5,9,8,6,6,7,6,3,11,0.6674
4,5,11,6,4,3,13,9,4,7,5,8,6,5,7,5,4,7,7,9,0.6742
6,5,4,8,6,7,7,5,9,4,6,11,9,3,2,7,5,5,7,10,0.6645
7,10,5,8,5,10,7,8,4,5,3,4,6,3,1,5,5,10,7,5,0.6592
6,3,8,2,3,7,6,6,4,5,10,6,1,7,9,4,6,4,6,8,0.6294
4,6,5,4,1,4,7,10,5,8,3,8,6,12,9,7,5,7,7,7,0.6824
8,8,10,1,4,4,3,5,5,8,10,7,4,6,7,5,7,6,7,8,0.7016
7,1,2,5,3,6,5,6,4,10,8,4,7,2,11,4,6,4,4,3,0.5943
5,5,7,5,9,5,11,4,4,6,5,9,3,8,5,9,6,10,5,6,0.6681
5,11,8,8,2,6,7,6,4,5,3,5,6,2,7,6,2,9,10,4,0.6432
10,6,2,6,7,5,6,5,5,4,5,6,6,9,5,3,7,6,3,2,0.6819
8,7,8,4,5,4,7,7,4,8,6,2,5,6,5,5,1,9,6,3,0.6224
8,6,4,7,8,6,5,3,10,9,5,9,1,5,3,7,3,4,5,5,0.677
4,4,3,6,7,7,3,6,7,7,10,4,6,6,6,8,6,2,7,5,0.6816
7,7,7,9,8,4,5,7,4,7,5,7,4,10,6,2,6,3,3,6,0.7036
7,9,5,8,4,6,2,3,6,5,10,10,4,3,8,4,4,8,5,8,0.6553
6,5,5,5,3,3,6,7,5,8,9,3,10,9,4,9,1,5,6,13,0.7066
4,5,6,8,5,6,5,8,8,7,5,5,8,11,10,10,4,6,2,6,0.7249
7,3,7,3,6,5,6,3,6,7,3,9,6,11,3,6,8,6,4,9,0.6632
5,10,6,4,4,6,7,5,4,7,6,4,5,4,4,3,5,7,4,7,0.5991
5,6,9,4,3,14,5,4,3,5,4,5,3,3,8,6,8,6,9,11,0.6506
8,9,2,6,7,5,0,3,4,6,4,10,8,10,5,7,5,7,4,5,0.7347
9,5,10,6,5,6,4,4,7,8,8,6,2,4,9,3,6,5,6,3,0.716
6,5,7,3,6,5,6,1,5,6,7,11,8,2,5,6,7,4,6,6,0.6182
2,7,1,4,10,8,5,6,3,6,6,4,9,3,5,4,9,6,9,6,0.6453
4,12,1,3,6,6,7,7,8,5,5,4,5,7,3,7,5,8,1,3,0.5943
6,5,7,10,9,6,4,5,4,2,3,6,4,4,8,8,4,3,11,4,0.6993
4,4,7,9,11,4,9,6,5,10,2,7,8,7,7,5,8,8,6,3,0.7492
5,6,10,7,5,6,4,6,6,6,3,7,5,4,8,3,4,7,8,8,0.6574
8,10,4,8,3,12,6,8,3,7,5,8,6,7,6,7,7,4,5,6,0.7263
9,6,4,2,6,6,9,9,7,5,5,3,7,3,13,12,4,8,7,5,0.7435
7,10,5,11,5,6,3,6,4,8,9,4,3,7,6,5,2,6,6,3,0.7156
5,5,2,4,7,4,3,8,7,9,8,12,6,7,7,3,5,5,5,6,0.6545
10,9,4,6,9,5,5,6,6,5,10,4,6,7,5,6,3,6,3,9,0.768
6,6,5,7,4,3,5,6,5,2,5,5,5,5,1,5,7,8,6,6,0.6141
5,5,7,7,6,10,5,9,7,7,7,8,6,7,6,13,10,7,9,8,0.8014
4,10,5,7,5,8,8,2,5,5,5,4,7,6,9,4,7,10,2,7,0.6718
8,9,7,9,3,3,8,6,8,6,6,3,5,6,10,4,7,4,8,5,0.7005
5,3,5,6,5,6,7,1,7,5,6,4,3,4,7,7,10,11,4,6,0.6252
5,4,8,4,6,4,9,5,6,5,4,7,4,5,6,4,4,4,4,4,0.5691
7,6,2,7,5,5,3,8,5,6,4,10,4,9,6,5,7,5,4,7,0.685
3,6,2,4,9,4,5,4,10,9,4,4,5,3,7,4,6,4,7,7,0.6279
6,8,6,4,4,4,3,4,6,8,3,9,7,8,9,4,7,4,2,7,0.6487
4,4,6,5,3,11,3,7,3,6,8,5,6,5,3,5,5,3,6,9,0.5773
8,3,3,5,10,7,5,7,6,7,8,7,4,4,9,6,3,4,6,4,0.6776
6,5,8,3,7,10,3,3,3,6,10,8,4,7,7,5,5,7,9,6,0.6909
6,8,6,4,8,8,3,6,8,4,12,3,5,4,2,3,5,10,7,3,0.7088
2,4,2,5,7,6,8,4,4,4,4,5,7,7,7,4,5,6,5,7,0.5633
5,6,4,5,5,3,4,4,7,2,1,8,5,3,2,7,3,3,7,4,0.5422
3,4,11,8,9,5,4,6,3,4,9,5,5,7,4,9,2,2,6,5,0.6497
4,11,6,4,1,1,6,10,5,4,5,8,9,8,6,5,4,4,11,5,0.6296
5,3,7,3,7,5,8,10,13,5,5,5,8,8,7,6,1,2,5,8,0.667
4,6,7,4,9,6,7,8,6,6,8,4,3,6,10,12,6,4,4,3,0.6674
5,3,5,6,6,4,8,7,8,5,7,11,2,8,10,9,5,8,5,3,0.6985
5,10,9,2,8,7,2,6,5,3,3,7,6,10,7,4,9,6,7,5,0.6804
3,5,4,8,5,13,5,10,4,10,7,6,5,8,8,9,5,11,4,8,0.761
7,8,6,6,5,4,10,4,7,10,10,10,6,3,6,7,4,4,9,4,0.6782
7,13,7,7,6,6,3,5,3,2,6,11,7,8,4,7,7,3,6,3,0.7138
5,8,9,4,7,8,6,4,5,6,5,7,5,6,11,4,10,8,4,7,0.703
5,7,4,8,4,7,6,6,5,7,6,5,2,8,8,3,7,8,7,4,0.6513
5,9,8,7,4,10,9,4,3,4,7,6,6,11,3,7,8,7,5,4,0.7484
6,7,5,4,8,11,7,4,8,6,6,6,9,8,6,11,3,2,3,4,0.7088
7,4,6,6,5,5,8,4,4,3,4,3,6,9,8,4,7,8,4,6,0.6803
2,3,6,10,5,10,5,8,7,4,4,6,7,2,9,2,10,7,6,0,0.637
2,5,4,8,3,11,8,6,6,7,6,5,7,5,6,4,6,4,5,10,0.6308
6,2,7,6,5,8,9,3,3,9,6,6,5,5,5,8,9,8,5,4,0.6515
1,7,4,7,9,3,4,2,6,4,10,3,2,9,5,8,7,6,6,4,0.6467
6,3,6,10,6,5,5,9,4,7,6,6,6,8,6,9,8,2,2,5,0.7097
3,3,7,3,6,3,7,3,6,4,3,4,6,4,6,6,4,6,9,5,0.5442
5,3,7,4,9,4,3,5,11,6,4,6,6,5,2,8,9,5,8,5,0.6886
4,5,6,2,6,7,6,7,10,7,3,6,4,9,5,3,4,7,3,5,0.6079
9,3,6,1,4,8,5,9,9,6,4,6,9,5,4,2,6,6,4,7,0.6426
3,8,4,7,7,7,7,8,4,6,11,5,4,14,9,6,8,8,5,7,0.7704
6,7,10,5,5,5,9,8,6,7,8,2,8,14,6,3,1,6,4,10,0.7358
4,6,6,5,4,4,6,3,2,8,4,3,3,4,3,5,8,6,6,7,0.561
5,7,3,3,7,11,4,5,7,1,6,2,11,6,6,7,1,11,8,4,0.6627
5,5,5,1,11,6,3,6,5,3,4,8,3,4,6,3,4,7,6,3,0.5503
10,4,5,6,7,3,4,7,9,5,6,11,6,10,4,4,6,2,9,6,0.7199
5,10,6,2,3,10,3,9,5,5,6,9,7,8,7,8,2,7,4,5,0.6786
6,5,5,11,8,4,7,4,8,8,6,4,4,3,6,6,7,6,5,10,0.6955
6,4,5,6,6,5,3,4,5,5,6,9,6,6,6,1,5,8,5,5,0.6321
6,6,3,2,7,12,4,6,6,9,6,1,4,6,6,6,8,7,3,6,0.6569
4,7,5,4,6,6,7,8,4,5,7,3,2,4,4,4,6,8,6,9,0.606
4,12,5,4,5,10,6,2,2,10,6,7,5,2,8,4,4,6,5,8,0.6179
7,4,6,4,5,3,10,5,4,9,5,5,9,11,1,2,6,3,4,7,0.6068
8,7,7,4,8,6,6,4,3,4,5,6,4,3,9,4,3,8,8,3,0.6403
8,4,9,6,4,7,6,4,6,5,4,3,7,3,3,6,2,13,5,3,0.6102
7,5,3,4,3,5,7,7,8,3,9,6,5,12,7,5,5,2,4,6,0.6572
5,5,7,4,5,5,7,5,5,8,5,8,7,6,3,8,6,6,5,5,0.6493
6,5,10,6,9,5,6,7,9,3,11,8,9,4,7,4,6,4,5,4,0.7172
3,6,8,6,6,6,11,1,2,7,5,7,6,2,3,11,9,4,7,4,0.5991
10,4,7,5,4,5,10,7,9,9,10,5,9,7,5,9,2,2,3,6,0.7301
8,7,7,5,3,5,5,7,6,5,5,6,7,4,12,11,6,5,3,1,0.6758
7,6,4,11,2,9,6,5,5,3,5,7,6,5,6,4,7,4,6,6,0.6379
5,3,4,10,5,6,4,6,10,6,6,6,7,4,4,6,9,9,5,7,0.6921
4,6,6,3,7,5,5,3,10,4,5,10,5,7,4,6,7,3,6,5,0.6201
5,5,6,9,4,5,7,12,2,5,4,10,4,6,6,5,6,5,9,2,0.6419
4,8,7,7,7,5,4,3,10,7,3,8,4,2,4,2,12,5,4,3,0.6239
9,7,5,4,7,9,4,3,9,2,8,4,7,2,9,3,7,3,6,2,0.689
6,12,5,4,5,5,10,5,7,5,7,3,7,7,2,5,7,5,3,9,0.6418
7,4,6,7,5,2,1,7,3,4,6,6,7,10,4,5,4,5,7,7,0.6687
8,7,8,8,3,4,10,4,7,5,1,4,1,4,5,9,8,6,9,7,0.6517
5,7,3,8,10,6,6,4,5,5,6,6,6,7,4,5,3,9,12,5,0.7443
7,3,6,2,3,5,3,8,9,4,4,7,7,6,8,3,2,9,4,7,0.631
6,3,6,7,10,9,12,10,7,4,6,7,10,8,5,8,3,12,9,6,0.8085
6,8,5,2,7,5,1,2,10,4,4,12,9,6,4,2,5,6,5,3,0.6242
9,7,4,7,5,5,11,5,6,12,7,5,7,7,6,7,5,4,6,8,0.7155
7,5,10,2,6,4,3,5,4,7,10,12,1,7,6,4,6,7,5,9,0.679
5,8,4,5,4,8,8,5,5,6,5,3,2,4,7,4,7,4,8,3,0.5983
2,7,9,8,7,4,2,4,10,7,8,3,4,9,6,4,5,9,5,6,0.7051
9,6,14,1,6,5,3,6,4,7,2,7,7,5,5,7,7,4,7,7,0.6979
7,8,9,5,3,0,8,5,6,6,5,7,5,7,7,7,8,2,6,10,0.6878
5,6,6,3,4,7,7,7,7,3,9,5,8,12,3,10,1,4,3,7,0.6308
6,4,8,8,5,9,3,8,4,7,6,4,5,1,5,10,6,4,7,8,0.695
9,7,7,6,1,5,1,6,2,1,7,13,6,6,1,8,5,5,7,2,0.6477
6,6,4,6,4,0,4,6,6,3,6,1,6,6,5,6,8,6,8,7,0.6175
6,7,3,8,8,8,9,1,6,7,6,9,6,4,7,5,2,8,5,4,0.643
5,4,11,4,6,7,7,9,4,6,4,4,7,3,7,11,6,3,4,8,0.6659
1,9,8,4,8,8,6,6,8,6,6,7,10,4,6,4,6,8,8,5,0.6788
3,6,3,5,11,8,2,7,9,5,8,7,9,6,6,4,7,4,2,3,0.6735
4,9,8,5,7,9,5,7,2,7,8,10,7,6,7,9,4,8,5,5,0.699
6,1,5,7,5,11,6,5,7,7,5,11,5,8,7,4,9,7,3,2,0.6805
4,7,5,11,5,4,6,4,11,6,6,9,9,6,11,7,3,4,7,2,0.6828
5,3,3,7,11,7,5,6,1,8,7,10,7,5,8,5,4,5,6,8,0.7013
2,8,4,6,3,7,6,3,5,7,7,7,7,4,13,4,7,6,5,4,0.6067
4,4,3,4,9,5,3,4,3,4,3,5,4,6,5,8,9,6,6,5,0.6278
5,7,0,1,6,3,6,5,3,8,1,3,9,7,7,4,11,9,7,3,0.5813
7,7,9,10,7,8,4,4,9,1,3,9,10,11,4,3,5,6,4,6,0.77
5,8,7,4,7,8,7,8,6,5,8,7,6,2,3,9,9,7,7,10,0.7037
8,4,5,7,4,7,7,8,6,8,4,7,5,7,13,3,2,6,10,6,0.7214
4,8,8,6,3,6,7,6,0,11,6,3,9,9,4,8,7,6,9,5,0.6644
11,6,5,5,1,6,8,9,7,4,7,6,9,7,12,5,6,2,9,7,0.7583
9,3,6,5,2,6,7,4,4,10,8,6,9,6,5,10,4,10,4,3,0.6775
4,7,6,2,6,4,4,11,5,7,9,4,8,1,7,10,6,4,4,6,0.6603
3,8,3,4,10,2,3,5,4,4,4,7,4,9,4,6,4,4,10,3,0.5935
5,4,4,6,4,3,6,6,8,2,6,7,5,6,10,6,2,8,6,5,0.6258
8,4,5,4,10,6,5,8,9,6,6,7,9,2,9,9,3,3,3,5,0.7206
9,7,5,5,7,6,3,6,7,10,4,2,6,8,5,3,7,6,4,5,0.7298
6,5,4,8,9,7,6,3,5,6,13,9,5,5,4,7,9,7,7,6,0.7341
7,5,3,9,7,9,8,6,3,4,6,5,2,5,7,7,3,13,4,5,0.6976
7,6,9,6,9,11,4,4,2,3,9,8,2,5,3,4,3,7,6,7,0.6719
4,3,3,3,7,5,5,2,10,6,8,8,4,3,11,8,6,2,5,8,0.6073
3,5,8,9,11,4,5,5,5,8,6,4,8,6,8,8,6,5,7,5,0.7208
8,9,5,7,9,5,12,4,5,4,6,10,10,7,6,4,9,8,4,9,0.7639
3,4,3,6,5,6,5,7,4,7,10,5,7,7,4,7,5,9,6,4,0.6253
9,5,6,2,6,5,4,7,6,5,10,4,3,7,7,4,8,11,4,5,0.7156
8,5,5,10,7,10,3,7,3,3,5,5,8,5,6,6,4,6,6,8,0.7428
7,4,7,8,7,4,4,5,8,6,9,5,3,6,5,1,11,6,9,7,0.7076
5,7,7,10,7,7,4,3,8,6,3,6,5,9,4,8,9,7,3,5,0.7084
3,3,5,4,7,9,4,5,6,9,7,7,7,9,5,7,4,4,6,6,0.6482
5,3,7,5,2,6,3,6,9,4,7,5,6,3,3,7,6,3,2,7,0.5774
8,8,11,5,6,14,5,5,4,5,5,3,10,4,11,4,5,7,10,4,0.7902
5,1,9,8,7,7,7,6,3,6,6,5,7,2,3,7,7,9,8,4,0.663
4,5,8,10,12,10,8,5,2,9,6,3,4,6,14,7,3,8,5,8,0.8071
